" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Oji Paper, Japan",Japan,,,*,15,1737,Paper,Listed,68.81,-11,-12,99.6,0.8,0.8,69,-69,-79,0.8,8429,-4,2,412.9,-6,-2,20415,2,4,3.4,-12,-15,,3183,10,77.16,75.83,81.82,76.50
"Stora Enso, Finland",Finland,,,,15,1737,Paper,Listed,67.79,-5,-14,,0.9,5.5,-567,,,-7.1,7948,-23,-34,277.0,-6,-3,28696,-17,-32,2.4,15,26,20,4024,18,71.26,90.27,72.59,81.47
"SCA, Sweden",Sweden,,,,15,1737,Paper,Listed,66.70,20,23,9.5,0.7,7.0,698,-4,14,7.3,9614,0,7,194.1,5,10,49531,-5,-3,1.3,26,27,,6127,8,55.68,54.99,52.04,53.51
"16 Gas, water & multiutilities (7)",,,,,,,,,765.95,19.3,52.7,3.1,0.3,10.0,24530,42.2,28.4,10.1,241699,1.9,30.7,327.4,0.9,6.5,738129,1.0,22.8,1.0,18.2,24.3,,132593,-16.0,642.28,517.79,446.57,399.71
"GDF SUEZ, France",France,,,,16,7575,Multiutilities,FT Global 500,193.69,72,127,2.8,0.3,10.9,6909,29,72,9.7,70998,18,93,292.5,14,-13,242714,3,83,0.8,66,-13,14,45976,-15,112.84,88.49,74.63,64.86
"RWE, Germany",Germany,,,,16,7575,Multiutilities,FT Global 500,190.14,2,43,2.8,0.5,12.2,6717,14,27,16.2,41419,-5,5,601.8,-10,8,68828,5,-4,2.8,-3,46,0,23506,-19,186.58,111.95,119.95,112.84
"Veolia Environnement, France",France,,,,16,7577,Water,Listed,129.90,44,77,8.2,0.4,5.0,1575,-8,-14,5.1,31062,-5,13,106.7,-3,6,291000,-2,7,0.4,47,66,,7871,-20,90.27,80.77,66.82,55.89
"E.ON, Germany",Germany,,,,16,7575,Multiutilities,FT Global 500,71.97,-21,46,1.0,0.1,10.5,7559,205,30,10.4,72776,-6,20,777.4,-6,12,93618,0,9,0.8,-21,39,2,35854,-26,90.63,61.31,23.99,21.32
"Osaka Gas, Japan",Japan,,,*,16,7573,Gas distribution,Listed,63.88,-6,-10,13.0,0.7,8.3,490,-3,-16,5.6,8826,7,19,464.3,-6,2,19009,14,17,3.4,-17,-23,,4946,11,67.71,65.89,75.33,75.86
"Tokyo Gas, Japan",Japan,,,*,16,7573,Gas distribution,Listed,60.96,-8,-3,12.3,0.6,8.6,497,9,-36,4.5,11043,12,25,712.0,14,32,15510,-2,-6,3.9,-6,2,,7524,20,66.19,68.35,62.52,55.44
"CPFL Energia, Brazil",Brazil,,,*,16,7575,Multiutilities,Listed,55.42,97,109,7.1,1.0,8.9,782,-6,-3,14.0,5575,9,21,748.3,4,6,7450,5,15,7.4,89,86,,6916,24,28.06,41.03,23.34,13.50
17 General industrials (34),,,,,,,,,10006.59,-1.6,0.6,37.9,2.7,7.9,26407,-38.1,-38.5,7.1,372392,-12.3,-8.3,187.6,-10.5,-7.1,1857056,-4.7,-1.8,5.2,-2.8,-2.8,,259468,11.7,10164.84,9707.29,9259.88,8825.02
"Toshiba, Japan",Japan,,,*,17,2727,Diversified industrials,FT Global 500,2516.12,-4,0,,5.7,12.9,-2223,-382,-309,-5.0,44265,-13,-1,222.4,-14,-10,199000,1,10,12.6,-4,-9,30,12826,-2,2616.11,2620.73,2477.45,2314.90
"General Electric, USA",USA,,,*,17,2727,Diversified industrials,FT Global 500,2058.33,10,13,11.9,2.1,7.7,17310,-35,-25,18.0,95938,-14,-7,315.6,-8,-1,304000,-6,-5,6.8,17,20,46,101821,11,1870.09,1863.27,1838.50,1697.32
"Honeywell, USA",USA,,,*,17,2727,Diversified industrials,FT Global 500,823.58,-14,-3,39.6,4.3,6.3,2082,-6,3,10.9,19139,-15,-5,156.9,-11,-6,122000,-5,1,6.8,-10,-4,,19758,18,955.48,903.46,873.74,663.82
"Mitsubishi Heavy, Japan",Japan,,,*,17,2727,Diversified industrials,Listed,674.04,-6,-8,173.0,3.0,8.4,390,-43,-5,1.7,22454,5,16,333.1,0,8,67416,5,7,10.0,-11,-14,,7634,-9,718.13,707.47,670.49,824.98
"3M, USA",USA,,,*,17,2727,Diversified industrials,FT Global 500,518.92,-2,2,17.4,3.6,7.5,2981,-8,-9,20.8,14319,-8,-1,191.3,-3,-1,74835,-5,0,6.9,4,2,52,37098,20,526.97,487.96,525.11,494.15
"Evonik Industries, Germany",Germany,,,,17,2727,Diversified industrials,Unlisted,262.99,-3,-3,33.7,2.3,8.2,780,11,712,6.7,11618,-19,-29,292.1,-15,-3,39768,-5,-33,6.6,2,27,,,,270.99,277.21,269.21,272.50
"Kawasaki Heavy Industries, Japan",Japan,,,*,17,2727,Diversified industrials,Listed,254.47,6,39,388.3,2.9,7.9,66,-86,-78,0.7,8904,-11,-3,276.0,-16,-11,32266,6,10,7.9,0,27,32,2599,-8,240.98,224.96,179.87,87.69
"Eaton, USA",USA,,,*,17,2727,Diversified industrials,Listed,244.60,-5,16,87.2,3.3,5.0,281,-65,-61,3.8,7352,-23,-8,105.0,-17,-16,70000,-7,9,3.5,1,7,,7821,41,258.22,207.44,198.77,177.72
"Kubota, Japan",Japan,,,*,17,2727,Diversified industrials,Listed,174.88,6,14,28.3,2.4,5.4,617,-28,-22,8.4,7367,-4,3,293.0,-7,-4,25140,3,7,7.0,3,7,35,6682,-1,164.86,152.49,151.20,146.09
"Onex, Canada",Canada,,,*,17,2727,Diversified industrials,Listed,164.21,-29,-11,70.6,1.1,3.6,233,,-27,1.6,14667,-8,14,69.8,2,4,210000,-10,8,0.8,-21,-18,,1970,21,232.13,186.06,233.91,86.83
"Doosan, South Korea",South Korea,,,*,17,2727,Diversified industrials,Listed,162.80,25,42,232.4,1.5,5.1,70,-17,-78,0.6,10905,-2,25,,,,,,,,,,,1839,,130.75,118.32,93.74,
"ITT, USA",USA,,,*,17,2727,Diversified industrials,Listed,159.82,6,35,28.6,2.4,4.9,558,-25,2,8.3,6752,-7,21,168.0,-5,20,40200,-1,1,4.0,7,34,30,5055,-9,151.28,112.89,99.64,109.98
"Diehl Stiftung & Co KG, Germany",Germany,,,*,17,2727,Diversified industrials,Unlisted,159.75,14,13,315.9,8.4,11.4,51,-42,-17,2.7,1892,-4,12,166.0,-7,4,11396,4,8,14.0,10,5,,,,139.94,138.61,142.16,143.94
"Voith, Germany",Germany,,,,17,2727,Diversified industrials,Unlisted,158.12,1,22,80.8,3.5,7.9,196,-21,-17,4.3,4517,3,25,108.9,3,3,41488,0,20,3.8,1,1,49,,,156.26,135.77,118.45,107.43
"Trumpf, Germany",Germany,,,*,17,2727,Diversified industrials,Unlisted,137.45,3,21,267.9,9.3,16.5,51,-81,-75,3.5,1477,-22,-7,180.5,-27,-22,8183,6,21,16.8,-3,0,,,,133.81,120.30,106.44,95.07
"Furukawa Electric, Japan",Japan,,,*,17,2727,Diversified industrials,Listed,132.34,1,6,,1.9,5.7,-63,-124,-137,-0.9,6870,-12,5,183.6,-11,-6,37427,-1,12,3.5,1,-7,,1716,-16,131.63,132.88,119.85,114.37
"Freudenberg, Germany",Germany,,,,17,2727,Diversified industrials,Unlisted,131.85,-8,-12,,3.5,7.6,-165,-160,-152,-4.4,3732,-17,-17,118.1,-12,-11,31616,-6,-7,4.2,-2,-5,,,,142.60,151.31,155.58,147.05
"Metallurgical Corporation of China, China",China,,,,17,2727,Diversified industrials,Listed,131.52,42,,18.1,0.9,7.0,728,49,,4.9,14968,5,,124.3,,,120385,,,1.1,,,,7062,,92.61,,,
"OC Oerlikon, Switzerland",Switzerland,,,,17,2727,Diversified industrials,Listed,125.80,-38,-10,,7.1,10.4,-357,,-601,-20.1,1776,-40,-19,108.5,-30,-21,16369,-14,1,7.7,-28,-19,,807,45,203.08,168.33,97.05,88.66
"Koc, Turkey",Turkey,,,,17,2727,Diversified industrials,Listed,105.18,-19,35,7.5,0.6,3.3,1412,2,25,8.1,17532,-21,-4,257.6,-15,16,68057,-8,-17,1.5,-13,58,,5668,60,130.47,91.15,48.23,41.61
"Smiths, UK",UK,,,,17,2727,Diversified industrials,Listed,89.20,23,-38,25.9,3.3,5.5,344,16,15,12.9,2665,15,-11,122.2,19,14,21800,-4,-22,4.1,28,-18,74,4497,47,72.50,125.80,216.60,160.50
"Icahn Enterprises, USA",USA,,,*,17,2727,Diversified industrials,Listed,86.69,-1,,11.8,2.3,5.4,734,,,19.4,3793,20,,89.5,23,,42368,-2,,2.0,1,,53,1918,,87.93,92.27,,
"Benteler, Germany",Germany,,,*,17,2727,Diversified industrials,Unlisted,85.12,-22,-16,,2.1,5.1,-29,-117,-116,-0.7,4055,-28,-23,175.2,-24,-24,23146,-5,2,3.7,-19,-18,36,,,109.55,97.11,95.07,103.07
"Abengoa, Spain",Spain,,,,17,2727,Diversified industrials,Listed,79.71,167,115,22.5,2.2,38.7,354,33,65,9.6,3685,10,42,158.0,10,-2,23323,0,43,3.4,166,36,,1323,-12,29.80,48.50,20.65,49.57
"NGK Insulators, Japan",Japan,,,*,17,2727,Diversified industrials,Listed,79.08,-2,11,47.9,4.4,15.1,165,-65,-42,9.1,1817,-25,-12,162.2,-23,-17,11205,-3,7,7.1,1,3,32,3374,-31,80.93,70.32,63.76,70.87
"Korber, Germany",Germany,,,*,17,2727,Diversified industrials,Unlisted,75.52,-7,-6,104.6,5.3,8.0,72,-57,-44,5.0,1432,-8,0,154.0,-9,-4,9298,1,5,8.1,-7,-9,54,,,80.85,76.41,84.41,
"Tyco International, Switzerland",Switzerland,,,*,17,2727,Diversified industrials,FT Global 500,73.07,-7,-61,,0.7,4.8,-926,-173,-140,-8.7,10676,-20,-52,100.7,-14,,106000,-6,,0.7,-1,,,11243,23,78.64,74.93,69.35,517.68
"Hyosung, South Korea",South Korea,,,*,17,2727,Diversified industrials,Listed,54.25,3,42,17.0,1.0,5.9,320,23,122,6.0,5323,4,42,,,,,,,,,,,1569,-7,52.90,40.00,33.07,27.11
"Orkla, Norway",Norway,,,,17,2727,Diversified industrials,Listed,51.03,-6,-16,,0.9,6.4,-213,-155,-131,-3.6,5877,-18,-9,194.8,-14,-3,30167,-4,-7,1.7,-2,-10,21,5098,1,54.24,58.64,61.42,67.96
"Sealed Air, USA",USA,,,*,17,2723,Containers & packaging,Listed,50.28,-5,-2,17.0,1.9,3.8,296,36,-4,11.3,2627,-12,-5,162.2,-8,1,16200,-5,-6,3.1,0,5,,2139,14,53.01,56.23,48.42,46.94
"Tomkins, UK",UK,,,,17,2727,Diversified industrials,Listed,48.67,-15,-7,405.2,1.9,4.6,12,-7,-94,0.5,2588,-24,-20,96.6,-8,7,26797,-17,-26,1.8,3,24,,2834,72,57.40,51.90,52.80,46.70
"Israel, Israel",Israel,,,,17,2727,Diversified industrials,Listed,47.06,-15,41,21.5,0.6,12.0,219,-80,-66,2.8,7739,-37,11,,,,,,,,,,,3679,17,55.11,30.34,25.50,22.23
"Meidensha, Japan",Japan,,,*,17,2727,Diversified industrials,Listed,46.16,6,14,,3.5,7.0,-4,-112,-117,-0.3,1322,-2,4,185.4,-7,-2,7133,5,6,6.5,2,8,0,433,-50,43.44,40.18,36.55,41.15
"Trelleborg, Sweden",Sweden,,,,17,2727,Diversified industrials,Listed,43.97,4,-10,67.4,1.9,4.7,65,124,-41,2.8,2347,-13,-5,116.9,5,11,20073,-18,-14,2.2,27,3,36,1006,27,42.15,44.06,52.91,57.15
18 General retailers (6),,,,,,,,,1802.37,5.9,45.0,38.8,1.9,4.1,4644,-2.2,3.1,4.8,97332,0.6,13.2,217.4,1.6,6.0,447674,-0.9,7.0,4.0,6.9,37.4,,71793,25.1,1702.24,1376.31,1111.41,780.40
"Amazon.com, USA",USA,,,*,18,5373,Broadline retailers,FT Global 500,883.65,17,63,123.8,5.8,7.3,714,44,97,4.7,15177,28,84,624.6,9,23,24300,17,53,36.4,0,9,,34577,55,755.47,586.41,486.10,335.01
"eBay, USA",USA,,,*,18,5377,Specialised consumer services,FT Global 500,562.56,8,45,62.4,10.4,16.9,902,-30,5,16.7,5404,2,31,329.5,1,14,16400,1,16,34.3,7,27,54,17469,1,519.10,452.24,355.62,226.20
"Maxingvest, Germany",Germany,,,,18,5373,Broadline retailers,Unlisted,132.39,-1,18,20.7,1.7,3.4,641,-5,-3,8.1,7913,-3,-1,243.2,1,-6,32532,-4,5,4.1,3,13,,,,134.16,112.84,105.73,96.85
"Metro, Germany",Germany,,,,18,5373,Broadline retailers,FT Global 500,95.96,-19,-9,6.7,0.2,2.1,1427,5,-12,2.4,58267,-5,3,196.7,-4,-2,296292,-2,5,0.3,-18,-14,4,10212,-6,119.06,115.50,99.51,89.74
"Netflix, USA",USA,,,*,18,5379,Specialty retailers,Listed,70.93,27,103,60.6,6.9,9.6,117,63,239,11.3,1034,22,78,549.3,7,32,1883,15,38,37.7,11,52,,4288,161,55.65,44.21,18.25,21.91
"Marks & Spencer, UK",UK,,,,18,5373,Broadline retailers,Listed,56.90,-52,-5,6.7,0.6,3.9,844,-2,-12,8.8,9537,5,10,125.0,7,8,76267,-2,2,0.7,-51,-5,,5246,0,118.80,65.10,46.20,10.70
19 Health care equipment & services (40),,,,,,,,,6820.94,5.4,19.2,46.4,6.3,11.1,14689,1.8,8.4,13.5,108615,2.8,18.3,155.5,-1.7,4.0,698572,4.6,14.6,9.8,0.7,2.7,,200199,2.9,6474.45,5742.81,5151.66,4353.68
"Medtronic, USA",USA,,,*,19,4535,Medical equipment,FT Global 500,904.08,8,17,34.6,9.2,12.9,2610,61,40,26.6,9794,8,22,227.8,3,11,43000,5,11,21.0,3,6,,23853,-6,839.06,789.52,767.23,689.15
"Boston Scientific, USA",USA,,,*,19,4535,Medical equipment,Listed,640.91,3,9,,12.6,16.5,-561,,,-11.1,5070,2,7,195.0,-3,3,26000,5,3,24.7,-2,6,,5148,-51,622.95,675.58,624.19,421.08
"Baxter International, USA",USA,,,*,19,4537,Medical supplies,FT Global 500,567.84,6,32,31.8,7.3,15.4,1785,16,45,23.0,7779,2,15,156.5,-1,9,49700,2,5,11.4,3,26,54,16541,-20,537.50,470.62,380.21,330.05
"Olympus, Japan",Japan,,,*,19,4535,Medical equipment,Listed,465.69,6,30,,7.1,11.6,-451,-165,-204,-6.9,6524,-13,-1,178.7,-15,-11,36503,2,11,12.8,4,18,51,4348,-8,438.54,369.38,305.55,317.42
"St Jude Medical, USA",USA,,,*,19,4535,Medical equipment,Listed,346.63,5,24,50.8,12.0,18.9,682,73,59,23.5,2899,7,30,207.1,7,10,14000,0,19,24.8,5,4,47,7548,-8,329.31,294.96,266.95,228.64
"Covidien, Ireland",Ireland,,,*,19,4535,Medical equipment,FT Global 500,271.22,28,,21.9,4.1,8.0,1239,-11,,18.7,6612,-1,,158.2,-1,,41800,0,,6.5,28,,,11982,-1,211.16,,,
"Becton Dickinson, USA",USA,,,*,19,4537,Medical supplies,FT Global 500,252.73,3,18,24.2,5.7,13.8,1043,8,37,23.3,4469,1,16,153.5,-2,9,29116,3,7,8.7,0,10,,10201,4,245.36,222.96,222.93,168.20
"Carl Zeiss, Germany",Germany,,,,19,4535,Medical equipment,Unlisted,252.33,-12,4,,13.5,17.4,-129,-154,-152,-6.9,1867,-23,-16,140.1,-25,-23,13325,2,9,18.9,-13,-5,48,,,285.21,257.66,225.68,204.35
"Fresenius, Germany",Germany,,,*,19,4535,Medical equipment,Listed,213.24,16,36,11.7,1.7,6.2,1825,27,46,14.5,12585,15,34,98.4,7,4,127903,8,28,1.7,8,4,57,7306,48,183.92,163.48,148.38,132.39
"Stryker, USA",USA,,,*,19,4535,Medical equipment,FT Global 500,208.19,-9,0,21.1,5.0,7.0,986,5,30,23.7,4163,0,17,224.0,-5,9,18582,6,7,11.2,-13,-7,36,11447,16,227.75,232.40,201.00,173.26
"Beckman Coulter, USA",USA,,,*,19,4535,Medical equipment,Listed,164.96,-5,4,114.9,8.2,13.2,144,-23,-11,7.1,2019,5,20,171.1,-2,-2,11800,7,21,14.0,-11,-15,,1953,-32,173.45,169.67,164.04,129.36
"Thermo Fisher Scientific, USA",USA,,,*,19,4535,Medical equipment,FT Global 500,152.39,-1,21,23.5,2.4,4.5,648,-15,54,10.4,6260,-4,52,176.8,-6,20,35400,3,29,4.3,-4,-17,,11177,-2,154.25,147.81,105.38,94.60
"Essilor International, France",France,,,,19,4537,Medical supplies,Listed,134.36,5,16,26.0,4.6,7.9,518,8,18,17.8,2904,6,18,88.4,0,1,32835,6,17,4.1,-2,-1,,8087,16,128.40,122.32,113.40,100.84
"B Braun Melsungen, Germany",Germany,,,,19,4535,Medical equipment,Unlisted,130.39,5,28,35.7,3.6,14.2,366,19,31,10.2,3579,6,18,92.9,4,4,38512,2,13,3.4,3,14,40,,,124.06,103.29,93.96,86.47
"Zimmer, USA",USA,,,*,19,4535,Medical equipment,Listed,127.19,6,7,20.2,5.0,7.6,631,-7,-8,24.9,2536,-1,11,309.3,3,0,8200,-4,10,15.5,10,-4,42,6401,6,120.13,129.79,116.60,108.68
"BioMerieux, France",France,,,,19,4535,Medical equipment,Listed,127.06,8,9,70.2,11.7,19.9,181,11,34,16.7,1087,10,16,172.6,3,5,6298,7,11,20.2,0,-2,,2507,7,117.90,117.10,115.15,116.13
"Dragerwerk, Germany",Germany,,,,19,4535,Medical equipment,Listed,120.02,0,11,167.5,7.1,9.4,72,-28,-37,4.2,1698,-1,7,154.3,-3,-2,11007,3,9,10.9,-3,3,,853,397,120.02,109.71,104.84,96.27
"Terumo, Japan",Japan,,,*,19,4535,Medical equipment,Listed,114.13,9,7,32.1,5.7,11.6,355,-21,-2,17.6,2014,-1,14,149.8,-9,-6,13439,9,21,8.5,0,-12,37,6648,3,104.79,111.70,119.90,91.39
"CR Bard, USA",USA,,,*,19,4537,Medical supplies,Listed,111.21,-10,21,26.8,7.1,9.0,416,30,45,26.5,1570,3,21,142.7,3,9,11000,0,11,10.1,-10,9,31,4634,4,123.29,84.09,90.22,70.96
"Edwards Lifesciences, USA",USA,,,*,19,4537,Medical supplies,Listed,108.68,26,48,81.1,13.3,18.1,134,39,51,16.4,818,7,21,127.9,3,8,6400,3,13,17.0,22,32,,4023,79,86.20,75.73,70.72,61.30
"Synthes, USA",USA,,,*,19,4535,Medical equipment,Listed,104.25,-1,20,14.5,5.0,13.8,720,8,36,34.3,2102,6,30,203.6,-2,6,10326,9,23,10.1,-9,-2,41,8529,4,105.18,92.04,77.78,71.11
"Bio-Rad Laboratories, USA",USA,,,*,19,4535,Medical equipment,Listed,101.30,3,22,70.5,9.2,12.9,144,34,68,13.0,1105,1,26,167.4,1,13,6600,0,12,15.3,3,9,68,1473,4,98.78,87.02,76.40,71.28
"Smith & Nephew, UK",UK,,,,19,4535,Medical equipment,Listed,95.98,2,19,21.0,4.1,9.8,458,15,40,19.6,2336,-1,23,239.2,-1,16,9764,0,7,9.8,2,11,,5066,21,94.12,87.93,74.31,67.00
"Getinge, Sweden",Sweden,,,,19,4535,Medical equipment,Listed,95.49,23,82,35.9,4.8,9.2,266,7,38,13.5,1979,18,51,162.9,13,13,12146,5,33,7.9,18,39,,2889,40,77.54,54.55,41.66,35.77
"Varian Medical Systems, USA",USA,,,*,19,4535,Medical equipment,Listed,91.26,9,35,31.9,6.6,9.4,286,10,35,20.8,1377,7,30,270.0,3,8,5100,4,21,17.9,4,13,52,4167,46,83.97,72.71,62.18,50.82
"TOPCON, Japan",Japan,,,*,19,4535,Medical equipment,Listed,77.09,14,27,,10.3,13.4,-70,-192,-185,-9.4,749,2,4,151.0,-35,,4964,56,,15.5,-27,,,254,-16,67.70,62.69,51.31,
"Bruker, USA",USA,,,*,19,4535,Medical equipment,Listed,75.49,-7,76,91.7,10.9,12.4,82,23,163,11.9,690,1,87,153.4,-2,3,4500,2,84,16.8,-9,-3,,1328,27,81.06,35.77,30.19,24.31
"Sysmex, Japan",Japan,,,*,19,4535,Medical equipment,Listed,71.65,17,31,72.7,9.6,18.0,99,0,24,13.2,744,1,19,179.4,-5,-5,4148,6,24,17.3,10,4,53,2019,56,61.34,60.04,54.44,43.30
"Millipore, USA (now part of Merck, Germany)",USA,,,*,19,4535,Medical equipment,Unlisted,70.94,12,26,41.3,6.9,11.3,172,19,51,16.8,1024,3,23,167.9,0,16,6100,3,7,11.6,8,19,60,,,63.54,66.26,53.64,40.90
"Inverness Medical Innovations (now Alere), USA",USA,,,*,19,4537,Medical supplies,Listed,69.88,1,70,79.4,5.6,10.6,88,150,,7.0,1252,21,131,110.8,-11,-6,11300,36,146,6.2,-26,-35,34,1477,-15,69.25,43.07,33.23,19.19
"William Demant, Denmark",Denmark,,,,19,4535,Medical equipment,Listed,64.12,8,22,46.7,9.4,12.4,137,11,0,20.2,681,6,10,120.0,1,-3,5674,5,14,11.3,2,7,54,2614,14,59.46,55.53,50.00,45.68
"Intuitive Surgical, USA",USA,,,*,19,4535,Medical equipment,Listed,61.62,25,127,26.4,9.5,9.5,234,21,118,35.9,652,20,103,515.9,0,18,1263,20,81,48.8,4,35,,7693,44,49.15,30.26,18.44,10.75
"Hologic, USA",USA,,,*,19,4537,Medical supplies,Listed,58.41,16,118,,5.8,7.7,-1251,,-24839,-123.4,1014,-2,107,256.1,-3,32,3959,1,58,14.8,15,32,,2369,0,50.42,27.55,17.52,11.53
"Sorin, Italy",Italy,,,,19,4535,Medical equipment,Listed,58.31,6,13,153.4,9.5,12.8,38,19,492,6.2,613,-9,-11,168.8,4,10,3631,-13,-19,16.1,21,39,,550,15,55.23,56.43,50.70,44.12
"Biomet, USA",USA,,,*,19,4535,Medical equipment,Unlisted,57.90,14,10,,3.7,11.1,-232,,-254,-14.9,1551,17,23,218.2,19,-1,7107,-2,19,8.1,16,-12,,,,50.90,58.47,52.58,49.35
"Kinetic Concepts, USA",USA,,,*,19,4535,Medical equipment,Listed,57.02,21,90,20.8,4.6,9.8,274,27,43,22.2,1234,6,31,181.5,8,23,6800,-1,7,8.4,23,80,,1555,4,46.96,31.29,22.72,18.96
"Cochlear, Australia",Australia,,,*,19,4535,Medical equipment,Listed,53.74,23,59,55.5,13.9,16.8,97,7,47,25.0,387,15,42,204.9,9,2,1888,6,37,28.5,17,14,89,2184,22,43.65,35.71,31.58,24.37
"Sonova, Switzerland",Switzerland,,,,19,4537,Medical supplies,Listed,52.14,12,20,21.4,5.8,9.9,243,26,43,27.1,899,20,37,151.5,3,-6,5933,16,44,8.8,-3,-18,58,5041,40,46.35,49.69,40.49,37.76
"Waters, USA",USA,,,*,19,4535,Medical equipment,Listed,47.78,-5,1,19.6,5.1,11.4,244,1,21,26.3,928,-5,9,178.5,-9,1,5200,4,8,9.2,-9,-7,69,3556,14,50.52,49.94,47.87,41.43
"Coloplast, Denmark",Denmark,,,,19,4535,Medical equipment,Listed,43.34,-6,26,26.0,4.1,9.6,167,40,50,15.8,1053,4,15,143.3,5,5,7349,-1,9,5.9,-5,16,24,2779,47,46.09,38.09,28.30,25.55
20 Household goods & home construction (16),,,,,,,,,3136.45,-1.9,6.8,19.0,2.4,6.2,16541,2.2,10.1,12.5,132168,-3.5,6.4,259.8,-1.2,7.0,508767,-2.3,-1.4,6.2,0.4,7.5,,167328,12.2,3196.93,3051.19,2859.60,2642.45
"Procter & Gamble, USA",USA,,,*,20,3724,Nondurable household products,FT Global 500,1265.71,-8,-2,12.1,2.6,6.6,10462,-4,16,21.2,49351,-5,12,365.6,-2,9,135000,-2,3,9.4,-6,-6,,105145,11,1378.41,1307.82,1284.91,1201.31
"Henkel, Germany",Germany,,,,20,3724,Nondurable household products,FT Global 500,354.51,3,12,36.5,2.9,5.5,970,27,-9,8.0,12060,-4,5,234.8,4,8,51361,-7,-3,6.9,11,15,38,12095,28,343.85,335.85,302.09,287.87
"Whirlpool, USA",USA,,,*,20,3722,Durable household products,Listed,281.75,4,12,88.7,2.7,5.8,318,14,-29,3.0,10588,-10,-4,158.0,-6,1,67000,-4,-5,4.2,9,18,,3612,36,269.99,260.70,265.03,209.92
"BSH Bosch und Siemens Hausgerate, Germany",Germany,,,,20,3722,Durable household products,Unlisted,240.78,3,14,48.0,3.2,6.6,501,-8,-5,6.7,7468,-4,1,188.2,-2,-3,39683,-3,4,6.1,6,10,20,,,232.79,233.67,208.80,167.04
"Electrolux, Sweden",Sweden,,,,20,3722,Durable household products,Listed,172.68,-5,-2,56.8,1.8,3.9,304,405,-5,3.2,9465,4,-5,186.9,13,11,50633,-8,-15,3.4,4,14,,3923,3,181.44,174.93,158.89,189.68
"Sekisui Chemical, Japan",Japan,,,*,20,3728,Home construction,Listed,169.09,-1,6,160.4,2.7,5.5,105,-40,-53,1.7,6214,-3,3,314.8,-7,-5,19742,4,9,8.6,-5,-3,9,2111,3,171.21,162.65,153.50,152.82
"Reckitt Benckiser, UK",UK,,,,20,3724,Nondurable household products,FT Global 500,122.00,16,44,6.5,1.6,3.6,1891,26,73,24.4,7753,18,48,311.4,15,35,24900,2,11,4.9,13,31,,21860,11,105.00,88.00,82.00,63.00
"Black & Decker, USA (now part of Stanley Black & Decker)",USA,,,*,20,3722,Durable household products,Unlisted,79.14,-12,-10,50.3,2.7,4.0,157,-40,-61,5.3,2957,-22,-25,148.6,-13,-7,19900,-10,-20,4.0,-3,12,38,,,90.41,93.44,86.32,82.85
"Newell Rubbermaid, USA",USA,,,*,20,3722,Durable household products,Listed,73.32,-1,9,20.8,2.1,4.9,352,185,18,10.2,3454,-14,-14,177.1,-10,2,19500,-4,-17,3.8,4,28,,2761,17,74.00,68.86,63.16,63.78
"Clorox, USA",USA,,,*,20,3724,Nondurable household products,Listed,70.59,3,12,11.4,2.1,5.7,617,16,20,18.3,3375,3,13,406.6,3,7,8300,0,6,8.5,3,6,,5609,13,68.74,66.88,61.30,54.49
"Fagor Electrodomesticos, Spain",Spain,,,,20,3722,Durable household products,Unlisted,61.78,24,156,551.5,4.9,7.8,11,1,-34,0.9,1254,-12,-13,149.2,3,5,8405,-15,-17,7.4,46,204,,,,49.76,36.43,4.23,6.01
"Groupe SEB, France",France,,,,20,3722,Durable household products,Listed,52.42,20,33,24.3,1.9,4.8,216,-8,16,7.6,2822,-2,13,143.2,-10,-15,19713,9,32,2.7,10,0,,2202,40,43.71,41.58,35.45,36.87
"Daiwa House Industry, Japan",Japan,,,*,20,3728,Home construction,Listed,51.57,-1,15,44.2,0.5,9.6,117,-49,-73,1.0,11248,-1,9,469.0,-3,-2,23985,2,11,2.2,-4,4,,3528,-12,52.35,48.05,41.18,38.00
"Dyson James, UK",UK,,,*,20,3722,Durable household products,Unlisted,49.13,-6,24,54.6,7.8,12.4,90,1,5,14.3,628,3,24,255.3,-8,-10,2461,12,37,20.0,-16,-7,,,,52.35,50.92,35.55,19.42
"Rinnai, Japan",Japan,,,*,20,3722,Durable household products,Listed,46.19,6,5,47.8,2.9,7.5,97,46,64,6.1,1575,1,10,202.6,-58,,7772,143,,5.9,-56,,,1928,28,43.55,45.09,45.09,42.21
"Makita, Japan",Japan,,,*,20,3722,Durable household products,Listed,45.78,16,36,13.7,2.3,8.1,333,-25,6,17.0,1956,-14,12,187.8,-14,0,10412,0,14,4.4,16,20,,2554,2,39.39,36.32,32.10,27.17
21 Industrial engineering (63),,,,,,,,,10129.26,-2.2,13.7,76.1,3.3,7.4,13314,-54.3,-52.6,4.3,308681,-15.4,-3.9,188.3,-11.7,-7.0,1534601,-5.7,-0.2,6.4,3.0,12.1,,288096,24.1,10356.95,9046.00,8136.84,7179.04
